Name,LUMO,HOMO,Wavelength
AP3,-5.11,-3.26,613.77 nm
JW1,-5.17,-3.27,580.3 nm
NL7,-5.34,-3.29,557.48 nm
Y123,-5.39,-3.32,510.58 nm
TP1,-5.3,-3.37,583.79 nm
C218,-5.46,-3.39,505.51 nm
C271,-5.71,-3.4,498.18 nm
C258,-5.21,-3.41,543.21 nm
C272,-5.28,-3.51,522.95 nm
IQ21,-5.45,-3.51,518.91 nm
TPA-TTAR-A,-5.75,-3.51,451.24 nm
NL11,-5.34,-3.53,571.11 nm
NL12,-5.28,-3.54,568.9 nm
IQ4,-5.55,-3.54,458.44 nm
NL13,-5.38,-3.55,577.69 nm
NL8,-5.4,-3.56,576.08 nm
ZL003,-5.47,-3.56,539.03 nm
IQ6,-5.41,-3.56,493.19 nm
YZ15,-5.12,-3.56,568.24 nm
TPA-T-TTAR-A,-5.65,-3.59,461.3 nm
JD21,-5.93,-3.6,561.62 nm
YZ12,-5.26,-3.62,561.0 nm
DQ5,-5.45,-3.63,551.71 nm
RR9,-6.1,-3.63,424.97 nm
SGT-121,-5.41,-3.63,490.8 nm
TTAR-B8,-5.65,-3.64,494.12 nm
SGT-129,-5.42,-3.64,419.18 nm
XY1,-5.33,-3.65,544.29 nm
FNE52,-5.45,-3.65,521.47 nm
TTAR-15,-5.66,-3.67,488.91 nm
T-DAHTDTT,-5.53,-3.67,475.27 nm
NL2,-5.35,-3.68,616.1 nm
NL4,-5.29,-3.68,639.93 nm
NL5,-5.39,-3.69,608.48 nm
D-DAHTDTT,-5.43,-3.69,504.79 nm
S-DAHTDTT,-5.56,-3.69,474.71 nm
FNE34,-5.41,-3.7,593.99 nm
AP14,-6.17,-3.7,431.22 nm
S3,-5.14,-3.7,578.49 nm
TTAR-9,-5.69,-3.71,465.8 nm
ND2,-5.56,-3.71,580.22 nm
NL3,-5.34,-3.71,621.44 nm
WS-55,-5.49,-3.72,560.94 nm
R6,-5.11,-3.72,619.91 nm
TPA-T-TTAR-T-A,-5.58,-3.72,467.02 nm
SGT-136,-5.16,-3.73,548.19 nm
R4,-5.19,-3.74,580.13 nm
ND1,-5.31,-3.76,607.77 nm
NKX-2883,-5.73,-3.78,547.72 nm
AP25,-5.3,-3.78,601.05 nm
ND3,-5.38,-3.78,619.7 nm
AP16,-6.07,-3.79,405.45 nm
WS-6,-5.56,-3.79,542.91 nm
BTD-1,-5.35,-3.81,508.22 nm
SGT-130,-5.31,-3.83,509.92 nm
TH304,-5.66,-3.88,515.78 nm
AP11,-6.35,-3.88,427.66 nm
FNE32,-5.4,-3.96,674.26 nm
HKK-BTZ4,-5.43,-4.0,560.49 nm
D3,-5.31,-4.07,542.89 nm
D1,-5.5,-4.09,553.83 nm
NL6,-5.58,-4.23,540.11 nm
